Time,I
2.637,15.257690771074708
2.638,15.259688373951256
2.6390000000000002,15.261685976827804
2.64,15.263683579704352
2.641,15.265681182580902
2.642,15.26767878545745
2.6430000000000002,15.269676388333998
2.644,15.271673991210546
2.645,15.273671594087094
2.646,15.275669196963642
2.6470000000000002,15.27766679984019
2.648,15.27966440271674
2.649,15.281662005593288
2.65,15.283659608469836
2.6510000000000002,15.285657211346384
2.652,15.28765481422293
2.653,15.28965241709948
2.654,15.291650019976029
2.6550000000000002,15.293647622852577
2.656,15.295645225729125
2.657,15.297642828605673
2.658,15.29964043148222
2.6590000000000003,15.301638034358769
2.66,15.303635637235317
2.661,15.305633240111865
2.662,15.307630842988411
2.6630000000000003,15.30962844586496
2.664,15.311626048741507
2.665,15.313623651618055
2.666,15.315621254494603
2.6670000000000003,15.317618857371151
2.668,15.3196164602477
2.669,15.32161406312425
2.67,15.323611666000795
2.6710000000000003,15.325609268877344
2.672,15.327606871753892
2.673,15.32960447463044
2.674,15.33160207750699
2.6750000000000003,15.333599680383536
2.676,15.335597283260086
2.677,15.337594886136635
2.678,15.339592489013183
2.6790000000000003,15.341590091889731
2.68,15.34358769476628
2.681,15.345585297642828
2.682,15.347582900519376
2.6830000000000003,15.349580503395924
2.684,15.351578106272472
2.685,15.35357570914902
2.686,15.355573312025568
2.6870000000000003,15.357570914902116
2.688,15.359568517778664
2.689,15.361566120655212
2.69,15.36356372353176
2.691,15.365561326408308
2.692,15.367558929284856
2.693,15.369556532161404
2.694,15.371554135037952
2.695,15.373551737914502
2.696,15.37554934079105
2.697,15.377546943667598
2.698,15.379544546544146
2.699,15.381542149420694
2.7,15.383539752297242
2.701,15.38553735517379
2.702,15.387534958050338
2.703,15.389532560926886
2.704,15.391530163803434
2.705,15.393527766679982
2.706,15.39552536955653
2.707,15.397522972433078
2.708,15.399520575309626
2.709,15.401518178186176
2.71,15.403515781062724
2.711,15.40551338393927
2.712,15.40751098681582
2.713,15.409508589692368
2.714,15.411506192568917
2.715,15.413503795445465
2.716,15.415501398322013
2.717,15.41749900119856
2.718,15.419496604075109
2.719,15.421494206951657
2.72,15.423491809828205
2.721,15.425489412704753
2.722,15.4274870155813
2.723,15.429484618457847
2.724,15.431482221334395
2.725,15.433479824210943
2.726,15.435477427087491
2.727,15.43747502996404
2.728,15.43947263284059
2.729,15.441470235717135
2.73,15.443467838593683
2.731,15.445465441470237
2.732,15.447463044346785
2.733,15.449460647223331
2.734,15.45145825009988
2.735,15.453455852976427
2.736,15.455453455852975
2.737,15.457451058729523
2.738,15.459448661606071
2.739,15.46144626448262
2.74,15.463443867359167
2.741,15.465441470235715
2.742,15.467439073112264
2.743,15.469436675988812
2.744,15.47143427886536
2.745,15.473431881741908
2.746,15.475429484618456
2.747,15.477427087495004
2.748,15.479424690371552
2.749,15.481422293248102
2.75,15.48341989612465
2.751,15.485417499001198
2.7520000000000002,15.487415101877746
2.753,15.489412704754294
2.754,15.491410307630842
2.755,15.49340791050739
2.7560000000000002,15.495405513383938
2.757,15.497403116260486
2.758,15.499400719137034
2.759,15.501398322013582
2.7600000000000002,15.50339592489013
2.761,15.505393527766678
2.762,15.507391130643226
2.763,15.509388733519774
2.7640000000000002,15.511386336396322
2.765,15.51338393927287
2.766,15.515381542149418
2.767,15.517379145025968
2.7680000000000002,15.519376747902516
2.769,15.521374350779064
2.77,15.523371953655612
2.771,15.52536955653216
2.7720000000000002,15.527367159408708
2.773,15.529364762285256
2.774,15.531362365161804
2.775,15.533359968038353
2.7760000000000002,15.5353575709149
2.777,15.537355173791449
2.778,15.539352776667997
2.779,15.541350379544545
2.7800000000000002,15.543347982421093
2.781,15.54534558529764
2.782,15.547343188174189
2.783,15.549340791050737
2.7840000000000003,15.551338393927283
2.785,15.553335996803831
2.786,15.555333599680385
2.787,15.55733120255693
2.7880000000000003,15.55932880543348
2.789,15.561326408310029
2.79,15.563324011186577
2.791,15.565321614063125
2.7920000000000003,15.567319216939673
2.793,15.56931681981622
2.794,15.571314422692769
2.795,15.573312025569315
2.7960000000000003,15.575309628445863
2.797,15.577307231322411
2.798,15.57930483419896
2.799,15.581302437075507
2.8000000000000003,15.583300039952055
2.801,15.585297642828603
2.802,15.587295245705151
2.803,15.5892928485817
2.8040000000000003,15.59129045145825
2.805,15.593288054334796
2.806,15.595285657211344
2.807,15.597283260087892
2.8080000000000003,15.59928086296444
2.809,15.60127846584099
2.81,15.603276068717538
2.811,15.605273671594086
2.8120000000000003,15.607271274470634
2.813,15.609268877347182
2.814,15.61126648022373
